Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Stops,Fare Type,Fare Price,Cancellation Policy,Date Change Policy,Seat Selection,Checked Baggage,Hand Baggage,Meal,Scraped At
Air India,IX-9571/AI-2818,Hyderabad(HYD),08:30,New Delhi(DEL),22:55,14h 25m,Not Available,Flex,25197,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:06.401103
Air India,IX-9571/AI-2818,Hyderabad(HYD),08:30,New Delhi(DEL),22:55,14h 25m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:06.413784
Air India,IX-9575/AI-2818,Hyderabad(HYD),10:50,New Delhi(DEL),22:55,12h 05m,Not Available,Value,22054,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:07.728795
Air India,IX-9575/AI-2818,Hyderabad(HYD),10:50,New Delhi(DEL),22:55,12h 05m,Not Available,Classic,23105,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:07.838955
Air India,IX-9575/AI-2818,Hyderabad(HYD),10:50,New Delhi(DEL),22:55,12h 05m,Not Available,Flex,25197,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:07.949065
Air India,IX-9575/AI-2818,Hyderabad(HYD),10:50,New Delhi(DEL),22:55,12h 05m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:07.968871
Air India,IX-9571/AI-2814,Hyderabad(HYD),08:30,New Delhi(DEL),00:55,16h 25m,Not Available,Value,22083,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:09.254951
Air India,IX-9571/AI-2814,Hyderabad(HYD),08:30,New Delhi(DEL),00:55,16h 25m,Not Available,Classic,23138,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:09.388055
Air India,IX-9571/AI-2814,Hyderabad(HYD),08:30,New Delhi(DEL),00:55,16h 25m,Not Available,Flex,25238,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:09.511968
Air India,IX-9571/AI-2814,Hyderabad(HYD),08:30,New Delhi(DEL),00:55,16h 25m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:09.531523
